city,year,quarter,freight_in,freight_out,pass_in,pass_out,ind_in,ind_out
Город,Год,Квартал,"Количество грузовых транспортных средств, перемещенных через пункт пропуска ","Количество грузовых транспортных средств, перемещенных через пункт пропуска ","Количество пассажирских транспортных средств, перемещенных через пункт пропуска ","Количество пассажирских транспортных средств, перемещенных через пункт пропуска ","Количество физических лиц, проследовавших через пункт пропуска","Количество физических лиц, проследовавших через пункт пропуска"
,,,В Россию,Из России,В Россию,Из России,В Россию,Из России
Новосибирск,2018,3,418,401,991,899,177806,144791
Новосибирск,2018,6,519,505,962,926,182832,137518
Новосибирск,2018,9,475,479,1066,1045,186533,180668
Новосибирск,2018,12,482,453,1087,1022,158180,162303
Новосибирск,2019,3,368,351,1130,1056,198406,167357
Новосибирск,2019,6,464,455,1052,1027,176756,160858
Новосибирск,2019,9,495,485,1073,1055,194931,192349
Новосибирск,2019,12,623,618,1143,1114,184622,201011
Новосибирск,2020,3,603,609,950,935,182789,150743
Новосибирск,2020,6,1644,1613,28,18,12655,9244
Новосибирск,2020,9,1080,995,138,129,22174,28541
Новосибирск,2020,12,1746,1368,220,226,36299,42616
Омск,2018,3,0,0,37,38,9484,9308
Омск,2018,6,0,0,96,96,17896,21235
